单词      复数    现在时            过去时
take	 ""	 "taking"	 "took"
fractious	 ""	 ""	 ""

combatant	 "combatants"	 ""	 ""

rutile	 ""	 ""	 ""

thyroid	 "thyroids"	 ""	 ""

evaded	 ""	 ""	 ""

bedkey	 ""	 ""	 ""

fratricide	 ""	 ""	 ""

babe	 "babes"	 ""	 ""

depletive	 ""	 ""	 ""

bedevil	 ""	 "bedevilling"	 "bedevilled"

erratum	 "errata"	 ""	 ""

beldame	 ""	 ""	 ""

etymon	 "etymons"	 ""	 ""

unorganized	 ""	 ""	 ""

Freya	 ""	 ""	 ""

biangular	 ""	 ""	 ""

filched	 ""	 ""	 ""

sloths	 ""	 ""	 ""

clients	 ""	 ""	 ""

vibrating	 ""	 ""	 ""

congealable	 ""	 ""	 ""

cochlearia	 ""	 ""	 ""

open-mouthed	 ""	 ""	 ""

trichina	 "trichinae"	 ""	 ""

detonate	 ""	 "detonating"	 "detonated"

herpetologist	 ""	 ""	 ""

Rosolic	 ""	 ""	 ""

bowling	 ""	 ""	 ""

exeunt	 ""	 ""	 ""

changeability	 ""	 ""	 ""

franklin	 ""	 ""	 ""

gonfanon	 ""	 ""	 ""

encomiastic	 ""	 ""	 ""

backplate	 ""	 ""	 ""

pictorial	 "pictorials"	 ""	 ""

uncoined	 ""	 ""	 ""

loci	 ""	 ""	 ""

grege	 ""	 ""	 ""

galvanic	 ""	 ""	 ""

bovine	 ""	 ""	 ""

morning-glory	 ""	 ""	 ""

flamen	 "flamens"	 ""	 ""

blackleg	 ""	 ""	 ""

filcher	 ""	 ""	 ""

dissemination	 ""	 ""	 ""

filches	 ""	 ""	 ""

reedbird	 ""	 ""	 ""

propitiated	 ""	 ""	 ""

eyeteeth	 ""	 ""	 ""

diarrhoeal	 ""	 ""	 ""

aluminia	 null	 null	 null

grizzle	 ""	 "grizzling"	 "grizzled"

deoxidation	 ""	 ""	 ""

dissimulator	 ""	 ""	 ""

brags	 ""	 ""	 ""

emersion	 ""	 ""	 ""

comedo	 "comedones"	 ""	 ""

cross-eyed	 ""	 ""	 ""

engorging	 ""	 ""	 ""

flavors	 ""	 ""	 ""

merlon	 ""	 ""	 ""

Aegopodium	 ""	 ""	 ""

everting	 ""	 ""	 ""

lulling	 null	 null	 null

enucleated	 ""	 ""	 ""

she-cat	 ""	 ""	 ""

coralloid	 ""	 ""	 ""

determinacy	 ""	 ""	 ""

bestraddle	 ""	 ""	 ""

scorifier	 ""	 ""	 ""

bulbed	 ""	 ""	 ""

exhilarant	 ""	 ""	 ""

gasconading	 ""	 ""	 ""

fences	 ""	 ""	 ""

calcareousness	 ""	 ""	 ""

prompting	 "promptings"	 ""	 ""

discus	 "discuses"	 ""	 ""

noises	 ""	 ""	 ""

reveler	 "revelers"	 ""	 ""

decarbonate	 ""	 ""	 ""

billfish	 "billfish"	 ""	 ""

grandfatherly	 ""	 ""	 ""

gracilis	 ""	 ""	 ""

casehardened	 ""	 ""	 ""

brazier	 "braziers"	 ""	 ""

energized	 ""	 ""	 ""

curbs	 ""	 ""	 ""

disforest	 ""	 ""	 ""

ejaculating	 ""	 ""	 ""

conferrable	 ""	 ""	 ""

presphenoid	 ""	 ""	 ""

cushionlike	 ""	 ""	 ""

expurgatory	 ""	 ""	 ""

digestible	 ""	 ""	 ""

exuvia	 ""	 ""	 ""

cannonry	 "cannonries"	 ""	 ""

defeasible	 ""	 ""	 ""

galingale	 ""	 ""	 ""

faience	 ""	 ""	 ""

peep	 ""	 "peeping"	 "peeped"

endwise	 ""	 ""	 ""

envelops	 ""	 ""	 ""

possesses	 ""	 ""	 ""

traduce	 ""	 "traducing"	 "traduced"

dismantle	 ""	 "dismantling"	 "dismantled"

Sylvia	 null	 null	 null

bassa	 ""	 ""	 ""

caucused	 ""	 ""	 ""

lightheaded	 ""	 ""	 ""

flares	 ""	 ""	 ""

backside	 "backsides"	 ""	 ""

cyprine	 ""	 ""	 ""

fuglemen	 ""	 ""	 ""

caucuses	 ""	 ""	 ""

equably	 ""	 ""	 ""

benching	 ""	 ""	 ""

gallego	 ""	 ""	 ""

cassolette	 ""	 ""	 ""

encumbers	 ""	 ""	 ""

chevy	 ""	 ""	 ""

campbellite	 ""	 ""	 ""

eke	 ""	 "eking"	 "eked"

hames	 ""	 ""	 ""

gingerbread	 ""	 ""	 ""

chastise	 ""	 "chastising"	 "chastised"

disadvise	 ""	 ""	 ""

enisled	 ""	 ""	 ""

Chilognatha	 ""	 ""	 ""

bothersome	 ""	 ""	 ""

color-blind	 ""	 ""	 ""

flaking	 ""	 ""	 ""

endoplast	 ""	 ""	 ""

roundlet	 ""	 ""	 ""

incidents	 ""	 ""	 ""

erodent	 ""	 ""	 ""

draperies	 ""	 ""	 ""

chloroforming	 ""	 ""	 ""

cal	 "cals"	 ""	 ""

gearing	 ""	 ""	 ""

Niagara	 null	 null	 null

partaker	 ""	 ""	 ""

chunam	 ""	 ""	 ""

conciliation	 ""	 ""	 ""

monocotyledons	 ""	 ""	 ""

frumentaceous	 ""	 ""	 ""

cymbalist	 ""	 ""	 ""

wan	 ""	 "wanning"	 "wanned"

chronopher	 ""	 ""	 ""

bion	 ""	 ""	 ""

olf	 ""	 ""	 ""

fracturing	 ""	 ""	 ""

gamecock	 ""	 ""	 ""

bilobed	 ""	 ""	 ""

corniferous	 ""	 ""	 ""

ganja	 ""	 ""	 ""

derogatory	 ""	 ""	 ""

cyamelide	 ""	 ""	 ""

fanfaron	 ""	 ""	 ""

retires	 ""	 ""	 ""

gybe	 ""	 "gybing"	 "gybed"

curculio	 ""	 ""	 ""

soporific	 ""	 ""	 ""

chilli	 "chillies"	 ""	 ""

corchorus	 ""	 ""	 ""

boulevard	 "boulevards"	 ""	 ""

countermine	 ""	 "countermining"	 "countermined"

status	 ""	 ""	 ""

Brahminist	 ""	 ""	 ""

criosphinx	 ""	 ""	 ""

Cremona	 ""	 ""	 ""

extemporized	 ""	 ""	 ""

globuliferous	 ""	 ""	 ""

writs	 ""	 ""	 ""

fortunately	 ""	 ""	 ""

bedaubed	 ""	 ""	 ""

cowherd	 ""	 ""	 ""

blaubok	 ""	 ""	 ""

Capitoline	 ""	 ""	 ""

freezer	 "freezers"	 ""	 ""

subvert	 ""	 "subverting"	 "subverted"

freezes	 ""	 ""	 ""

rhetorician	 "rhetoricians"	 ""	 ""

chasseur	 ""	 ""	 ""

eyebrow	 "eyebrows"	 ""	 ""

eosphorite	 ""	 ""	 ""

craniums	 ""	 ""	 ""

dolorific	 ""	 ""	 ""

Scrophulariaceae	 ""	 ""	 ""

cwt	 ""	 ""	 ""

slough	 "sloughs"	 "sloughing"	 "sloughed"

Williams	 null	 null	 null

comprehending	 ""	 ""	 ""

Candlemas	 ""	 ""	 ""

mezereum	 ""	 ""	 ""

delphinoid	 ""	 ""	 ""

co-relation	 ""	 ""	 ""

ductile	 ""	 ""	 ""

graduateship	 ""	 ""	 ""

sergeant	 "sergeants"	 ""	 ""

prognostics	 ""	 ""	 ""

substructure	 ""	 ""	 ""

blazon	 ""	 "blazoning"	 "blazoned"

droplight	 ""	 ""	 ""

staircase	 "staircases"	 ""	 ""

biddable	 ""	 ""	 ""

converters	 ""	 ""	 ""

elbowchair	 ""	 ""	 ""

dripple	 ""	 ""	 ""

peerless	 ""	 ""	 ""

auritus	 ""	 ""	 ""

symphonious	 ""	 ""	 ""

epigrammatized	 ""	 ""	 ""

phenacite	 ""	 ""	 ""

multiplicand	 ""	 ""	 ""

surges	 ""	 ""	 ""

clinanthium	 ""	 ""	 ""

demisable	 ""	 ""	 ""

galliard	 ""	 ""	 ""

exsiccating	 ""	 ""	 ""

typewriting	 ""	 ""	 ""

cronstedtite	 ""	 ""	 ""

padding	 ""	 ""	 ""

counterbalanced	 ""	 ""	 ""

gobemouche	 ""	 ""	 ""

pteropod	 ""	 ""	 ""

potomac	 ""	 ""	 ""

Siva	 null	 null	 null

globularity	 ""	 ""	 ""

commandant	 "commandants"	 ""	 ""

expropriating	 ""	 ""	 ""

dredge	 ""	 "dredging"	 "dredged"

guesses	 ""	 ""	 ""

forebodes	 ""	 ""	 ""

besprent	 ""	 ""	 ""

extruding	 ""	 ""	 ""

croustade	 ""	 ""	 ""

daze	 ""	 ""	 ""

exhibitor	 "exhibitors"	 ""	 ""

duff	 ""	 "duffing"	 "duffed"

expansible	 ""	 ""	 ""

defecating	 ""	 ""	 ""

imbrown	 ""	 ""	 ""

bisection	 ""	 ""	 ""

dapple	 ""	 ""	 ""

decretal	 ""	 ""	 ""

caesuras	 ""	 ""	 ""

organizations	 ""	 ""	 ""

berserker	 ""	 ""	 ""

smuts	 ""	 ""	 ""

caesurae	 ""	 ""	 ""

circulatory	 ""	 ""	 ""

progressively	 ""	 ""	 ""

solos	 ""	 ""	 ""

denudate	 ""	 ""	 ""

eulogies	 ""	 ""	 ""

caesural	 ""	 ""	 ""

snaffle	 "snaffles"	 "snaffling"	 "snaffled"

discifloral	 ""	 ""	 ""

fireball	 "fireballs"	 ""	 ""

dace	 "dace"	 ""	 ""

excorticate	 ""	 ""	 ""

foreclosure	 "foreclosures"	 ""	 ""

blitheness	 ""	 ""	 ""

caecal	 ""	 ""	 ""

gymnosperms	 ""	 ""	 ""

samarskite	 ""	 ""	 ""

bursa	 "bursae"	 null	 null

Oldenlandia	 ""	 ""	 ""

gulled	 ""	 ""	 ""

Barse	 ""	 ""	 ""

playful	 ""	 ""	 ""

scored	 ""	 ""	 ""

embryoplastic	 ""	 ""	 ""

scantling	 ""	 ""	 ""

physiol	 ""	 ""	 ""

cardol	 ""	 ""	 ""

Kiang	 ""	 ""	 ""

chylific	 ""	 ""	 ""

incrusted	 ""	 ""	 ""

calumniator	 ""	 ""	 ""

Cuming	 ""	 ""	 ""

burier	 ""	 ""	 ""

trifle	 "trifles"	 "trifling"	 "trifled"

burse	 ""	 ""	 ""

Britons	 ""	 ""	 ""

franklinite	 ""	 ""	 ""

dicer	 ""	 ""	 ""

cloud-capped	 ""	 ""	 ""

embryonal	 ""	 ""	 ""

daffadowndilly	 ""	 ""	 ""

oiliness	 ""	 ""	 ""

epibolic	 ""	 ""	 ""

bacilli	 ""	 ""	 ""

Ellwand	 ""	 ""	 ""

polity	 "polities"	 ""	 ""

cudweed	 ""	 ""	 ""

carbureting	 ""	 ""	 ""

nutgall	 ""	 ""	 ""

faction	 "factions"	 ""	 ""

fumed	 ""	 ""	 ""

varnishes	 ""	 ""	 ""

Story-teller	 ""	 ""	 ""

curly	 ""	 ""	 ""

triforium	 "triforia"	 ""	 ""

daydream	 "daydreams"	 "daydreaming"	 "daydreamed"

chronologies	 ""	 ""	 ""

orange-red	 ""	 ""	 ""

drear	 ""	 ""	 ""

gingival	 ""	 ""	 ""

blottesque	 ""	 ""	 ""

cheroot	 "cheroots"	 ""	 ""

curls	 ""	 ""	 ""

diffract	 ""	 ""	 ""

differentiating	 ""	 ""	 ""

ependyma	 ""	 ""	 ""

cruciform	 ""	 ""	 ""

humidity	 ""	 ""	 ""

massy	 ""	 ""	 ""

factual	 ""	 ""	 ""

gyrate	 ""	 "gyrating"	 "gyrated"

criterion	 "criteria"	 ""	 ""

NORWAY	 null	 null	 null

disparities	 ""	 ""	 ""

bagasse	 ""	 ""	 ""

credulousness	 ""	 ""	 ""

gutting	 ""	 ""	 ""

disc	 "discs"	 null	 null

endocarp	 ""	 ""	 ""

cresol	 ""	 ""	 ""

footpad	 ""	 ""	 ""

deltaic	 ""	 ""	 ""

evangelized	 ""	 ""	 ""

broadsword	 ""	 ""	 ""

dibber	 ""	 ""	 ""

entrench	 ""	 "entrenching"	 "entrenched"

fling	 "flings"	 "flinging"	 "flung"

flavaniline	 ""	 ""	 ""

projectiles	 ""	 ""	 ""

extinguisher	 "extinguishers"	 ""	 ""

dwindled	 ""	 ""	 ""

datum	 "data"	 ""	 ""

firlot	 ""	 ""	 ""

distributary	 ""	 ""	 ""

decadency	 ""	 ""	 ""

bicorn	 ""	 ""	 ""

deviates	 ""	 ""	 ""

pimple	 "pimples"	 ""	 ""

courtship	 "courtships"	 ""	 ""

unpolarized	 ""	 ""	 ""

whirl	 ""	 "whirling"	 "whirled"

Ostracoda	 ""	 ""	 ""

Rupicapra	 ""	 ""	 ""

decigram	 ""	 ""	 ""

keynote	 "keynotes"	 "keynoting"	 "keynoted"

miniature	 "miniatures"	 ""	 ""

circumgyrate	 ""	 ""	 ""

first-rate	 ""	 ""	 ""

eardrop	 ""	 ""	 ""

decadence	 ""	 ""	 ""

grill	 "grills"	 "grilling"	 "grilled"

intriguer	 ""	 ""	 ""

explicit	 ""	 ""	 ""

goffering	 ""	 ""	 ""

judicatory	 ""	 ""	 ""

diremption	 ""	 ""	 ""

gigantean	 ""	 ""	 ""

reek	 ""	 "reeking"	 "reeked"

decidua	 ""	 ""	 ""

ruffs	 ""	 ""	 ""

exesion	 ""	 ""	 ""

Anglo-Indian	 "Anglo-Indians"	 ""	 ""

descendible	 ""	 ""	 ""

irrevocably	 ""	 ""	 ""

botch	 ""	 "botching"	 "botched"

carbonyl	 ""	 ""	 ""

fawningly	 ""	 ""	 ""

embassies	 ""	 ""	 ""

ceiled	 ""	 ""	 ""

gnarly	 ""	 ""	 ""

byway	 "byways"	 ""	 ""

exhaled	 ""	 ""	 ""

fovilla	 ""	 ""	 ""

expiated	 ""	 ""	 ""

cusps	 ""	 ""	 ""

carburetted	 ""	 ""	 ""

gue	 ""	 ""	 ""

excrescent	 ""	 ""	 ""

cephalous	 ""	 ""	 ""

offence	 "offences"	 ""	 ""

nematode	 ""	 ""	 ""

bicyclist	 "bicyclists"	 ""	 ""

poetically	 ""	 ""	 ""

fumet	 ""	 ""	 ""

ulcerating	 ""	 ""	 ""

discase	 ""	 ""	 ""

Cacajao	 ""	 ""	 ""

bade	 null	 null	 null

blockhouse	 "blockhouses"	 ""	 ""

Catholicism	 ""	 ""	 ""

souari	 ""	 ""	 ""

guy	 "guys"	 "guying"	 "guyed"

bi	 ""	 ""	 ""

gossoon	 ""	 ""	 ""

bolete	 ""	 ""	 ""

imperatively	 ""	 ""	 ""

conglomeration	 "conglomerations"	 ""	 ""

conjunct	 ""	 ""	 ""

commuter	 "commuters"	 ""	 ""

dilapidating	 ""	 ""	 ""

firer	 ""	 ""	 ""

commutes	 ""	 ""	 ""

dustpan	 "dustpans"	 ""	 ""

ethylate	 ""	 "ethylating"	 "ethylated"

benzyl	 ""	 ""	 ""

grume	 ""	 ""	 ""

PLUTO	 ""	 ""	 ""

Echiuroidea	 ""	 ""	 ""

babbled	 ""	 ""	 ""

genuflection	 ""	 ""	 ""

commuted	 ""	 ""	 ""

diphygenic	 ""	 ""	 ""

elaidin	 ""	 ""	 ""

finegrained	 ""	 ""	 ""

personified	 ""	 ""	 ""

gluteal	 ""	 ""	 ""

coherency	 ""	 ""	 ""

niggardly	 ""	 ""	 ""

bodeful	 ""	 ""	 ""

cardioid	 ""	 ""	 ""

fleshings	 ""	 ""	 ""

eschscholtzia	 ""	 ""	 ""

prairie	 "prairies"	 ""	 ""

Dionysian	 ""	 ""	 ""

lecherous	 ""	 ""	 ""

cubical	 ""	 ""	 ""

goosery	 ""	 ""	 ""

blastide	 ""	 ""	 ""

fertileness	 ""	 ""	 ""

westerly	 "westerlies"	 ""	 ""

ovulist	 ""	 ""	 ""

babbles	 ""	 ""	 ""

emigrants	 ""	 ""	 ""

barite	 ""	 ""	 ""

belittled	 ""	 ""	 ""

crabs	 ""	 ""	 ""

boding	 ""	 ""	 ""

albus	 ""	 ""	 ""

viscousness	 ""	 ""	 ""

desquamatory	 null	 null	 null

chronometer	 "chronometers"	 ""	 ""

gayness	 ""	 ""	 ""

gabarage	 null	 null	 null

cohort	 "cohorts"	 ""	 ""

ethane	 ""	 ""	 ""

cajuputene	 ""	 ""	 ""

ductility	 ""	 ""	 ""

displode	 ""	 ""	 ""

chronicling	 ""	 ""	 ""

diffluence	 ""	 ""	 ""

cohorn	 ""	 ""	 ""

sloe	 "sloes"	 ""	 ""

mineralogist	 ""	 ""	 ""

buggy	 "buggies"	 ""	 ""

shotgun	 "shotguns"	 ""	 ""

fluxility	 ""	 ""	 ""

menyanthes	 ""	 ""	 ""

sweetened	 ""	 ""	 ""

Moravia	 null	 null	 null

infield	 ""	 ""	 ""

pinchers	 null	 null	 null

diphtheria	 ""	 ""	 ""

scaling	 ""	 ""	 ""

lifeguard	 "lifeguards"	 ""	 ""

suppurated	 ""	 ""	 ""

reefs	 ""	 ""	 ""

hypogene	 ""	 ""	 ""

cyanometer	 ""	 ""	 ""

equidistant	 ""	 ""	 ""

cowing	 null	 null	 null

gawk	 ""	 "gawking"	 "gawked"

damnify	 ""	 ""	 ""

balconies	 ""	 ""	 ""

filleted	 null	 null	 null

ploy	 "ploys"	 ""	 ""

pertains	 ""	 ""	 ""

decursive	 ""	 ""	 ""

monde	 ""	 ""	 ""

Caudata	 ""	 ""	 ""

enacted	 ""	 ""	 ""

gryphon	 ""	 ""	 ""

balconied	 ""	 ""	 ""

continuator	 ""	 ""	 ""

fumes	 ""	 ""	 ""

tennis	 ""	 ""	 ""

conciliate	 "conciliates"	 "conciliating"	 "conciliated"

dacoit	 ""	 ""	 ""

caudate	 ""	 ""	 ""

by-bidder	 ""	 ""	 ""

narrow-gauge	 ""	 ""	 ""

Toulouse	 null	 null	 null

wen	 ""	 ""	 ""

ox-eyed	 ""	 ""	 ""

xl	 ""	 ""	 ""

undulating	 ""	 ""	 ""

detonation	 "detonations"	 ""	 ""

raveling	 ""	 ""	 ""

kinematics	 ""	 ""	 ""

venesection	 ""	 ""	 ""

brominate	 ""	 "brominating"	 "brominated"

ozocerite	 ""	 ""	 ""

memoranda	 null	 null	 null

variables	 ""	 ""	 ""

neckcloth	 "neckcloths"	 ""	 ""

Italians	 ""	 ""	 ""

flipping	 ""	 ""	 ""

blueberry	 "blueberries"	 ""	 ""

encrimson	 ""	 "encrimsoning"	 "encrimsoned"

gesticulate	 "gesticulates"	 "gesticulating"	 "gesticulated"

outreaching	 ""	 ""	 ""

crud	 ""	 ""	 ""

magazines	 ""	 ""	 ""

forwarding	 ""	 ""	 ""

dominus	 ""	 ""	 ""

XV	 ""	 ""	 ""

inflect	 ""	 "inflecting"	 "inflected"

sativus	 ""	 ""	 ""

concerts	 ""	 ""	 ""

capitulation	 ""	 ""	 ""

marshals	 ""	 ""	 ""

Boswellian	 ""	 ""	 ""

fuliginous	 ""	 ""	 ""

plaything	 "playthings"	 ""	 ""

em	 "ems"	 ""	 ""

tick	 "ticks"	 "ticking"	 "ticked"

distich	 ""	 ""	 ""

guitguit	 ""	 ""	 ""

paleography	 ""	 ""	 ""

blunge	 ""	 ""	 ""

pander	 "panders"	 "pandering"	 "pandered"

well-proportioned	 ""	 ""	 ""

cretinous	 ""	 ""	 ""

boscage	 ""	 ""	 ""

indent	 ""	 "indenting"	 "indented"

remotely	 ""	 ""	 ""

yean	 ""	 "yeaning"	 "yeaned"

wetting	 ""	 ""	 ""

bonspiel	 ""	 ""	 ""

checker	 "checkers"	 "checkering"	 "checkered"

grilse	 "grilses"	 ""	 ""

mozambique	 ""	 ""	 ""

erewhiles	 ""	 ""	 ""

ey	 ""	 ""	 ""

jag	 "jags"	 "jagging"	 "jagged"

Keyboard	 ""	 ""	 ""

collodion	 ""	 ""	 ""

ex	 "exes"	 ""	 ""

baptismally	 ""	 ""	 ""

Bonapartism	 ""	 ""	 ""

defuse	 ""	 "defusing"	 "defused"

copulation	 "copulations"	 ""	 ""

grimalkin	 ""	 ""	 ""

ep	 ""	 ""	 ""

forma	 ""	 ""	 ""

chiragra	 ""	 ""	 ""

Tadorna	 ""	 ""	 ""

guttle	 ""	 ""	 ""

fulminant	 ""	 ""	 ""

easternmost	 ""	 ""	 ""

graphic	 "graphics"	 ""	 ""

silene	 ""	 ""	 ""

vying	 ""	 ""	 ""

bravado	 "bravados"	 ""	 ""

bugles	 ""	 ""	 ""

churchgoer	 "churchgoers"	 ""	 ""

divorcer	 ""	 ""	 ""

fo	 ""	 ""	 ""

glucogenesis	 ""	 ""	 ""

bugler	 "buglers"	 ""	 ""

carpolite	 ""	 ""	 ""

dubbed	 ""	 ""	 ""

furcate	 ""	 "furcating"	 "furcated"

mitigative	 ""	 ""	 ""

fleshly	 ""	 ""	 ""

bureaux	 ""	 ""	 ""

flighted	 null	 null	 null

instate	 ""	 "instating"	 "instated"

stimulating	 ""	 ""	 ""

Bohun	 ""	 ""	 ""

engirded	 ""	 ""	 ""

sawflies	 ""	 ""	 ""

humbug	 "humbugs"	 ""	 ""

overspread	 ""	 "overspreading"	 "overspread"

grassy	 ""	 ""	 ""

excussion	 ""	 ""	 ""

ferrocalcite	 ""	 ""	 ""

gales	 ""	 ""	 ""

eyetooth	 "eyeteeth"	 ""	 ""

flowery	 ""	 ""	 ""

jumper	 "jumpers"	 ""	 ""

gymnosperm	 ""	 ""	 ""

engild	 ""	 ""	 ""

flighter	 ""	 ""	 ""

crabbing	 ""	 ""	 ""

bridesmaid	 "bridesmaids"	 ""	 ""

trematode	 ""	 ""	 ""

frolicky	 ""	 ""	 ""

carp	 "carps"	 "carping"	 "carped"

Galen	 null	 null	 null

bastinadoes	 ""	 ""	 ""

Gehenna	 ""	 ""	 ""

fore-topsail	 ""	 ""	 ""

Peumus	 ""	 ""	 ""

neurapophysis	 ""	 ""	 ""

fungilliform	 ""	 ""	 ""

jovial	 ""	 ""	 ""

engulfment	 ""	 ""	 ""

disepalous	 ""	 ""	 ""

deinotherium	 ""	 ""	 ""

guncotton	 ""	 ""	 ""

marina	 "marinas"	 ""	 ""

profuse	 ""	 ""	 ""

puerile	 ""	 ""	 ""

finfish	 ""	 ""	 ""

cascarilla	 ""	 ""	 ""

Parcae	 ""	 ""	 ""

sweetening	 ""	 ""	 ""

intellectually	 ""	 ""	 ""

Eskimos	 ""	 ""	 ""

biquadratic	 ""	 ""	 ""

compares	 ""	 ""	 ""

eggar	 ""	 ""	 ""

thickly	 ""	 ""	 ""

drunkenly	 ""	 ""	 ""

marten	 "marten"	 ""	 ""

funiculus	 ""	 ""	 ""

casque	 ""	 ""	 ""

belie	 ""	 "belying"	 "belied"

minuet	 "minuets"	 ""	 ""

crosscut	 "crosscuts"	 "crosscutting"	 "crosscut"

slag	 "slags"	 "slagging"	 "slagged"

enslavedness	 ""	 ""	 ""

burrowing	 ""	 ""	 ""

bakehouse	 ""	 ""	 ""

differentiates	 ""	 ""	 ""

caricaturist	 "caricaturists"	 ""	 ""

mucopurulent	 ""	 ""	 ""

slab	 "slabs"	 ""	 ""

deliquesce	 ""	 ""	 ""

bristle-pointed	 ""	 ""	 ""

secondhand	 ""	 ""	 ""

brumous	 ""	 ""	 ""

chance-medley	 ""	 ""	 ""

buffeting	 "buffetings"	 ""	 ""

clamoring	 ""	 ""	 ""

buoyance	 ""	 ""	 ""

despiteous	 ""	 ""	 ""

lumps	 ""	 ""	 ""

coopers	 ""	 ""	 ""

downhaul	 ""	 ""	 ""

enteropathy	 ""	 ""	 ""

browning	 ""	 ""	 ""

chromos	 ""	 ""	 ""

Lemnos	 ""	 ""	 ""

enhancer	 "enhancers"	 ""	 ""

goad	 "goads"	 "goading"	 "goaded"

doable	 ""	 ""	 ""

catheterism	 ""	 ""	 ""

Balcon	 ""	 ""	 ""

earache	 "earaches"	 ""	 ""

dicentra	 ""	 ""	 ""

halibut	 ""	 ""	 ""

filibeg	 ""	 ""	 ""

chromophore	 ""	 ""	 ""

disendowment	 ""	 ""	 ""

neatly	 ""	 ""	 ""

eruption	 "eruptions"	 ""	 ""

sprayboard	 ""	 ""	 ""

disentomb	 ""	 ""	 ""

suing	 ""	 ""	 ""

rind	 "rinds"	 ""	 ""

genuflected	 ""	 ""	 ""

Lanius	 ""	 ""	 ""

signior	 ""	 ""	 ""

blackbirds	 ""	 ""	 ""

burl	 "burls"	 "burling"	 "burled"

delator	 ""	 ""	 ""

entireness	 ""	 ""	 ""

gaging	 ""	 ""	 ""

culturing	 null	 null	 null

basined	 ""	 ""	 ""

summarized	 ""	 ""	 ""

botanizes	 ""	 ""	 ""

globulous	 ""	 ""	 ""

damoiselle	 ""	 ""	 ""

fronto-parietal	 ""	 ""	 ""

corroval	 ""	 ""	 ""

fremd	 ""	 ""	 ""

detent	 ""	 ""	 ""

cupel	 ""	 ""	 ""

compassionately	 ""	 ""	 ""

gizzard	 "gizzards"	 ""	 ""

chimaera	 "chimaeras"	 ""	 ""

flummery	 "flummeries"	 ""	 ""

cacology	 ""	 ""	 ""

curtal	 ""	 ""	 ""

expounding	 ""	 ""	 ""

cabling	 ""	 ""	 ""

granatite	 ""	 ""	 ""

gassing	 ""	 ""	 ""

crupper	 ""	 ""	 ""

decigramme	 ""	 ""	 ""

bolas	 ""	 ""	 ""

gallooned	 ""	 ""	 ""

Ferrara	 null	 null	 null

cupriferous	 ""	 ""	 ""

epipetalous	 ""	 ""	 ""

basinet	 ""	 ""	 ""

Mustelidae	 ""	 ""	 ""

filing	 ""	 ""	 ""

reflex	 "reflexes"	 ""	 ""

emplastration	 ""	 ""	 ""

fletched	 ""	 ""	 ""

epistome	 ""	 ""	 ""

domeykite	 ""	 ""	 ""

derider	 ""	 ""	 ""

firmamental	 ""	 ""	 ""

guillotined	 ""	 ""	 ""

zamia	 "zamias"	 ""	 ""

felo-de-se	 "felones-de-se"	 ""	 ""

grunting	 ""	 ""	 ""

parallelograms	 ""	 ""	 ""

fletches	 null	 null	 null

correligionist	 ""	 ""	 ""

fletcher	 ""	 ""	 ""

cornetcy	 ""	 ""	 ""

gratified	 ""	 ""	 ""

Ambloplites	 ""	 ""	 ""

tuberous	 ""	 ""	 ""

dermatine	 ""	 ""	 ""

crania	 ""	 ""	 ""

earthling	 "earthlings"	 ""	 ""

commandership	 ""	 ""	 ""

epicranial	 ""	 ""	 ""

fumid	 ""	 ""	 ""

contrarily	 ""	 ""	 ""

eschewing	 ""	 ""	 ""

gnaw	 "gnawn"	 ""	 ""

Bernardine	 null	 null	 null

cloistered	 ""	 ""	 ""

bidigitate	 ""	 ""	 ""

cowish	 ""	 ""	 ""

epistoler	 ""	 ""	 ""

dinaphthyl	 ""	 ""	 ""

compulsively	 ""	 ""	 ""

derided	 ""	 ""	 ""

fumarole	 ""	 ""	 ""

